ID,YEAR/MONTH/DAY,ELEMENT,DATA VALUE,M-FLAG,Q-FLAG,S-FLAG,OBS-TIME
US1CAAL0001,20240101,PRCP,8,,,N,700.0
US1CAAL0003,20240101,PRCP,5,,,N,700.0
US1CAAL0006,20240101,PRCP,3,,,N,700.0
US1CAAL0012,20240101,PRCP,8,,,N,700.0
US1CAAL0024,20240101,PRCP,10,,,N,700.0
US1CAAL0025,20240101,PRCP,0,,,N,800.0
US1CAAL0025,20240101,SNOW,0,,,N,800.0
US1CAAL0030,20240101,PRCP,3,,,N,700.0
US1CAAL0034,20240101,PRCP,0,T,,N,700.0
US1CAAL0039,20240101,PRCP,3,,,N,800.0
US1CAAL0060,20240101,PRCP,0,,,N,700.0
US1CAAL0060,20240101,SNOW,0,,,N,700.0
US1CAAM0009,20240101,PRCP,0,,,N,800.0
US1CAAM0009,20240101,SNOW,0,,,N,800.0
US1CAAM0011,20240101,PRCP,3,,,N,700.0
US1CAAM0013,20240101,PRCP,0,,,N,700.0
US1CAAM0013,20240101,SNOW,0,,,N,700.0
US1CAAM0016,20240101,PRCP,0,,,N,800.0
US1CAAM0016,20240101,SNOW,0,,,N,800.0
US1CAAM0018,20240101,PRCP,0,,,N,800.0
US1CAAM0018,20240101,SNOW,0,,,N,800.0
US1CAAM0019,20240101,PRCP,0,,,N,700.0
US1CAAM0019,20240101,SNOW,0,,,N,700.0
US1CABT0005,20240101,PRCP,0,,,N,800.0
US1CABT0005,20240101,SNOW,0,,,N,800.0
US1CABT0008,20240101,PRCP,5,,,N,800.0
US1CABT0019,20240101,DAPR,10,,,N,700.0
US1CABT0019,20240101,MDPR,478,,,N,700.0
US1CABT0026,20240101,PRCP,10,,,N,600.0
US1CABT0032,20240101,PRCP,0,,,N,700.0
US1CABT0032,20240101,SNOW,0,,,N,700.0
US1CABT0033,20240101,PRCP,5,,,N,600.0
US1CABT0042,20240101,PRCP,0,,,N,800.0
US1CABT0042,20240101,SNOW,0,,,N,800.0
US1CABT0044,20240101,PRCP,5,,,N,800.0
US1CACC0001,20240101,PRCP,38,,,N,700.0
US1CACC0004,20240101,PRCP,86,,,N,800.0
US1CACC0006,20240101,PRCP,46,,,N,700.0
US1CACC0010,20240101,DAPR,2,,,N,900.0
US1CACC0010,20240101,MDPR,18,,,N,900.0
US1CACC0011,20240101,PRCP,36,,,N,700.0
US1CACC0012,20240101,PRCP,13,,,N,700.0
US1CACC0018,20240101,PRCP,69,,,N,700.0
US1CACC0025,20240101,PRCP,8,,,N,700.0
US1CACC0031,20240101,PRCP,25,,,N,621.0
US1CACC0036,20240101,PRCP,8,,,N,649.0
US1CACC0037,20240101,PRCP,71,,,N,530.0
US1CACC0040,20240101,PRCP,0,,,N,630.0
US1CACC0040,20240101,SNOW,0,,,N,630.0
US1CACC0045,20240101,PRCP,20,,,N,700.0
US1CACC0046,20240101,PRCP,0,,,N,700.0
US1CACC0046,20240101,SNOW,0,,,N,700.0
US1CACC0050,20240101,PRCP,79,,,N,700.0
US1CACC0052,20240101,PRCP,15,,,N,900.0
US1CACC0053,20240101,PRCP,13,,,N,800.0
US1CACL0001,20240101,DAPR,2,,,N,700.0
US1CACL0001,20240101,MDPR,20,,,N,700.0
US1CACV0011,20240101,PRCP,0,,,N,700.0
US1CACV0011,20240101,SNOW,0,,,N,700.0
US1CADN0001,20240101,PRCP,0,,,N,700.0
US1CADN0001,20240101,SNOW,0,,,N,700.0
US1CADN0005,20240101,PRCP,0,,,N,800.0
US1CADN0005,20240101,SNOW,0,,,N,800.0
US1CADN0006,20240101,PRCP,5,,,N,633.0
US1CADN0008,20240101,PRCP,18,,,N,800.0
US1CADN0011,20240101,PRCP,0,,,N,820.0
US1CADN0011,20240101,SNOW,0,,,N,820.0
US1CADN0012,20240101,PRCP,0,T,,N,800.0
US1CADN0017,20240101,PRCP,3,,,N,900.0
US1CADN0021,20240101,PRCP,0,,,N,700.0
US1CADN0021,20240101,SNOW,0,,,N,700.0
US1CAED0003,20240101,PRCP,0,,,N,700.0
US1CAED0003,20240101,SNOW,0,,,N,700.0
US1CAED0010,20240101,PRCP,0,,,N,800.0
US1CAED0010,20240101,SNOW,0,,,N,800.0
US1CAED0023,20240101,PRCP,0,,,N,600.0
US1CAED0023,20240101,SNOW,0,,,N,600.0
US1CAED0029,20240101,PRCP,0,,,N,745.0
US1CAED0029,20240101,SNOW,0,,,N,745.0
US1CAED0036,20240101,PRCP,0,,,N,730.0
US1CAED0036,20240101,SNOW,0,,,N,730.0
US1CAFR0002,20240101,PRCP,0,T,,N,700.0
US1CAFR0008,20240101,PRCP,0,,,N,700.0
US1CAFR0008,20240101,SNOW,0,,,N,700.0
US1CAFR0014,20240101,PRCP,0,,,N,700.0
US1CAFR0014,20240101,SNOW,0,,,N,700.0
US1CAFR0026,20240101,PRCP,0,,,N,700.0
US1CAFR0026,20240101,SNOW,0,,,N,700.0
US1CAFR0031,20240101,PRCP,0,,,N,700.0
US1CAFR0031,20240101,SNOW,0,,,N,700.0
US1CAFR0034,20240101,PRCP,3,,,N,801.0
US1CAFR0036,20240101,PRCP,0,,,N,700.0
US1CAFR0036,20240101,SNOW,0,,,N,700.0
US1CAHM0001,20240101,PRCP,8,,,N,700.0
US1CAHM0004,20240101,PRCP,18,,,N,700.0
US1CAHM0005,20240101,PRCP,20,,,N,700.0
US1CAHM0006,20240101,PRCP,8,,,N,800.0
US1CAHM0007,20240101,PRCP,0,,,N,800.0
US1CAHM0007,20240101,SNOW,0,,,N,800.0
US1CAHM0009,20240101,PRCP,15,,,N,800.0
US1CAHM0012,20240101,PRCP,10,,,N,800.0
US1CAHM0014,20240101,DAPR,13,,,N,700.0
US1CAHM0014,20240101,MDPR,1549,,,N,700.0
US1CAHM0026,20240101,PRCP,5,,,N,700.0
US1CAHM0030,20240101,PRCP,5,,,N,800.0
US1CAHM0031,20240101,PRCP,0,,,N,800.0
US1CAHM0031,20240101,SNOW,0,,,N,800.0
US1CAHM0034,20240101,PRCP,0,T,,N,800.0
US1CAHM0035,20240101,PRCP,5,,,N,800.0
US1CAHM0038,20240101,PRCP,0,,,N,700.0
US1CAHM0038,20240101,SNOW,0,,,N,700.0
US1CAHM0039,20240101,PRCP,0,,,N,700.0
US1CAHM0039,20240101,SNOW,0,,,N,700.0
US1CAHM0041,20240101,PRCP,8,,,N,700.0
US1CAHM0041,20240101,SNOW,0,,,N,700.0
US1CAHM0041,20240101,SNWD,0,,,N,700.0
US1CAHM0041,20240101,WESD,0,,,N,700.0
US1CAHM0041,20240101,WESF,0,,,N,700.0
US1CAHM0046,20240101,PRCP,10,,,N,700.0
US1CAHM0060,20240101,PRCP,8,,,N,700.0
US1CAHM0063,20240101,PRCP,15,,,N,800.0
US1CAHM0065,20240101,PRCP,3,,,N,900.0
US1CAHM0066,20240101,PRCP,3,,,N,800.0
US1CAHM0070,20240101,PRCP,0,,,N,800.0
US1CAHM0070,20240101,SNOW,0,,,N,800.0
US1CAHM0073,20240101,PRCP,0,,,N,800.0
US1CAHM0073,20240101,SNOW,0,,,N,800.0
US1CAHM0078,20240101,PRCP,0,,,N,700.0
US1CAHM0078,20240101,SNOW,0,,,N,700.0
US1CAHM0079,20240101,PRCP,5,,,N,800.0
US1CAHM0079,20240101,SNOW,0,,,N,800.0
US1CAHM0084,20240101,PRCP,8,,,N,800.0
US1CAHM0086,20240101,PRCP,18,,,N,638.0
US1CAHM0087,20240101,PRCP,20,,,N,700.0
