ID,LATITUDE,LONGITUDE,ELEVATION,STATE,NAME,GSN_FLAG,HCN_CRN_FLAG,WMO_ID
US1CAAL0001,37.8123,-122.216,113.4,CA,PIEDMONT 1.0 SE,,,
US1CAAL0002,37.7075,-122.0687,87.5,CA,CASTRO VALLEY 0.5 WSW,,,
US1CAAL0003,37.7169,-122.0585,163.4,CA,CASTRO VALLEY 0.4 NNE,,,
US1CAAL0004,37.6483,-121.8745,107.0,CA,PLEASANTON 1.8 SSE,,,
US1CAAL0006,37.8319,-122.2503,58.2,CA,OAKLAND 4.4 NNW,,,
US1CAAL0007,37.515,-121.9523,9.1,CA,FREMONT 2.6 ESE,,,
US1CAAL0008,37.8557,-122.2301,268.8,CA,BERKELEY 3.8 ESE,,,
US1CAAL0011,37.6821,-122.1332,9.1,CA,SAN LORENZO 0.5 NNW,,,
US1CAAL0012,37.6702,-121.8814,104.9,CA,PLEASANTON 0.4 ESE,,,
US1CAAL0015,37.7817,-122.2124,39.3,CA,OAKLAND 1.0 NE,,,
US1CAAL0016,37.7644,-122.1386,120.4,CA,OAKLAND 7.8 SE,,,
US1CAAL0017,37.8414,-122.1978,399.9,CA,OAKLAND 5.0 NNE,,,
US1CAAL0018,37.8575,-122.2256,349.9,CA,BERKELEY 4.0 E,,,
US1CAAL0020,37.8776,-122.2875,27.1,CA,BERKELEY 0.9 NE,,,
US1CAAL0022,37.513,-121.9691,9.8,CA,FREMONT 1.9 SE,,,
US1CAAL0024,37.572,-121.959,31.1,CA,FREMONT 3.7 NE,,,
US1CAAL0025,37.8947,-122.2965,16.8,CA,ALBANY 1.7 E,,,
US1CAAL0030,37.7778,-122.2032,35.4,CA,OAKLAND 1.2 ENE,,,
US1CAAL0031,37.5685,-121.9654,25.3,CA,FREMONT 3.3 NNE,,,
US1CAAL0032,37.5269,-122.0104,9.1,CA,NEWARK 1.2 ENE,,,
US1CAAL0033,37.6889,-122.0857,46.9,CA,CASTRO VALLEY 2.0 SW,,,
US1CAAL0034,37.8775,-122.2813,36.6,CA,BERKELEY 1.1 NE,,,
US1CAAL0035,37.7005,-121.8655,106.1,CA,PLEASANTON 2.3 NNE,,,
US1CAAL0039,37.8552,-122.2892,13.7,CA,BERKELEY 0.9 SSE,,,
US1CAAL0045,37.8402,-122.2027,2888.9,CA,OAKLAND 4.9 NNE,,,
US1CAAL0050,37.8935,-122.2936,21.9,CA,ALBANY 1.8 E,,,
US1CAAL0052,37.7941,-122.2364,37.5,CA,OAKLAND 1.7 NNW,,,
US1CAAL0053,37.8476,-122.2476,67.1,CA,OAKLAND 5.4 NNW,,,
US1CAAL0060,37.8867,-122.2699,101.5,CA,BERKELEY 2.0 NE,,,
US1CAAM0002,38.4969,-120.5604,1063.1,CA,VOLCANO 5.4 NE,,,
US1CAAM0003,38.4986,-120.5364,1115.3,CA,VOLCANO 6.4 NE,,,
US1CAAM0004,38.3904,-120.8045,385.9,CA,SUTTER CREEK 0.1 WSW,,,
US1CAAM0005,38.5054,-120.4993,1241.5,CA,PIONEER 6.4 NE,,,
US1CAAM0006,38.3892,-120.6412,827.2,CA,PINE GROVE 1.9 SSE,,,
US1CAAM0007,38.4675,-120.5512,1040.0,CA,PIONEER 2.7 NNE,,,
US1CAAM0009,38.4882,-120.6313,739.4,CA,VOLCANO 3.2 N,,,
US1CAAM0010,38.3455,-120.7719,375.5,CA,JACKSON 0.4 S,,,
US1CAAM0011,38.3389,-120.7691,413.0,CA,JACKSON 0.8 SSE,,,
US1CAAM0013,38.4205,-120.8415,271.0,CA,AMADOR CITY 1.0 W,,,
US1CAAM0014,38.4032,-120.764,419.4,CA,SUTTER CREEK 2.3 ENE,,,
US1CAAM0015,38.4062,-120.6627,787.0,CA,PINE GROVE 0.5 SSW,,,
US1CAAM0016,38.3963,-120.8061,365.2,CA,SUTTER CREEK 0.4 NNW,,,
US1CAAM0017,38.5445,-120.7429,619.7,CA,RIVER PINES 0.2 SE,,,
US1CAAM0018,38.4781,-120.7028,634.6,CA,FIDDLETOWN 3.5 SE,,,
US1CAAM0019,38.546,-120.7456,616.6,CA,PLYMOUTH 7.1 NE,,,
US1CABT0002,39.514,-121.518,163.1,CA,OROVILLE 2.7 ENE,,,
US1CABT0003,39.7339,-121.7604,114.3,CA,CHICO 2.8 ESE,,,
US1CABT0005,39.4932,-121.477,203.6,CA,OROVILLE 4.8 E,,,
US1CABT0007,39.7697,-121.8138,76.5,CA,CHICO 1.2 NNW,,,
US1CABT0008,39.7385,-121.832,64.0,CA,CHICO 1.7 SW,,,
US1CABT0009,39.7494,-121.8614,57.9,CA,CHICO 2.9 W,,,
US1CABT0010,39.859,-121.9048,81.1,CA,CHICO 8.9 NW,,,
US1CABT0011,39.7387,-121.7984,75.6,CA,CHICO 1.1 SSE,,,
US1CABT0012,39.737,-121.832,63.7,CA,CHICO 1.8 SW,,,
US1CABT0013,39.5311,-121.4886,120.1,CA,OROVILLE 4.6 ENE,,,
US1CABT0015,39.7549,-121.7823,110.3,CA,CHICO 1.3 E,,,
